,author,times,average
182,Christoph Hellwig ,578,84903
183,Jacob Pan ,13,3426501
184,Alexander Shishkin ,114,416044
185,Jaehoon Chung ,37,1108738
186,Andy Shevchenko ,370,124765
187,H.J. Lu ,5,12204816
188,Yu-cheng Yu ,12,2010887
189,John Johansen ,21,568674
190,Theodore Ts'o ,71,680540
191,Eric Biggers ,36,1058777
192,Alex Hemme ,1,0
193,Paolo Bonzini ,203,240533
194,Ignacio Alvarado ,1,0
195,David Woodhouse ,53,781080
196,Alexey Khoroshilov ,43,1168855
197,Pavel Machek ,15,3524865
198,Babu Moger ,7,3642685
199,Trond Myklebust ,349,132893
200,Dave Kleikamp ,4,14169709
201,Stefan Hajnoczi ,16,3083066
202,Michael Walle ,5,10009492
203,Felix Hädicke ,4,2451146
204,Wei Huang ,13,3727752
205,Janakarajan Natarajan ,1,0
206,Johannes Berg ,352,142242
207,Michael Neuling ,50,941638
208,Wei Yongjun ,326,154555
209,Cédric Le Goater ,4,15336064
210,Dave Airlie ,71,658499
211,Tony Lindgren ,210,232700
212,Brian Norris ,197,247008
213,Abhi Das ,10,5390631
214,Andreas Gruenbacher ,111,422245
215,Dmitry Torokhov ,112,433934
216,Steve Wise ,39,1212991
217,Yonatan Cohen ,8,756425
218,Matan Barak ,61,771508
219,Daniel Jurgens ,14,1817050
220,Eli Cohen ,35,1054136
221,Moshe Lazer ,3,11236672
222,Maor Gottlieb ,69,497953
223,Majd Dibbiny ,26,1835334
224,Mark Bloch ,21,808091
225,Leon Romanovsky ,33,1379726
226,Joao Pinto ,23,985997
227,Lv Zheng ,190,251841
228,Keno Fischer ,1,0
229,Keith Busch ,117,405168
230,Stephen Boyd ,465,105935
231,Sunil Goutham ,64,739208
232,Radha Mohan Chintakuntla ,4,13701816
233,Mike Marshall ,66,545051
234,Paul Jakma ,1,0
235,Heikki Krogerus ,66,734663
236,Azhar Shaikh ,1,0
237,Kan Liang ,63,735481
238,David Herrmann ,23,2203356
239,Ville Syrjälä ,712,72404
240,Pablo Neira ,14,3670753
241,Alexander Kochetkov ,9,3177362
242,Giuseppe CAVALLARO ,22,1444981
243,Hangbin Liu ,5,10240119
244,Dennis Dalessandro ,123,314982
245,Jianxin Xiong ,21,1079199
246,Dasaratharaman Chandramouli ,10,5421451
247,Jakub Pawlak ,8,2294549
248,Krzysztof Blaszkowski ,2,3
249,Ira Weiny ,98,487361
250,Easwar Hariharan ,32,1074541
251,Tadeusz Struk ,95,506080
252,Monk Liu ,47,524020
253,Peter Chen ,125,395695
254,Jia Jie Ho ,1,0
255,Marek Szyprowski ,190,250773
256,Benjamin Beichler ,1,0
257,Felix Fietkau ,62,787524
258,"Pedersen, Thomas ",4,1846935
259,Filip Matusiak ,1,0
260,Petr Vandrovec ,2,651442
261,Ido Schimmel ,198,207715
262,Steven Rostedt (Red Hat) ,144,332999
263,Alexei Starovoitov ,110,444478
264,Xin Long ,73,404379
265,Baoquan He ,26,1666631
266,Hoan Tran ,11,1244089
267,H. Nikolaus Schaller ,35,1415998
268,Max Filippov ,78,577116
269,Thomas Tai ,2,323588
270,Colin Ian King ,282,176405
271,Mauro Carvalho Chehab ,1175,41667
272,Scott Mayhew ,9,6047761
273,Axl-zhang ,1,0
274,Sagi Grimberg ,153,309941
275,Bart Van Assche ,178,266167
276,Dave Jiang ,107,406042
277,Nicholas Mc Guire ,76,682204
278,Bert Kenward ,20,2019077
279,Arkadi Sharshevsky ,1,0
280,Yotam Gigi ,19,629148
281,Michael Chan ,113,299028
282,Mike Frysinger ,5,9310619
283,Stephen Suryaputra Lin ,1,0
284,Guenter Roeck ,242,192064
285,Sven Ebenfeld ,1,0
286,Matt Fleming ,63,746950
287,Baruch Siach ,40,1230169
288,Martin KaFai Lau ,54,914786
289,Jens Axboe ,86,566000
290,Andrey Grodzovsky ,5,6078627
291,Hugh Dickins ,43,923885
292,Matias Bjørling ,88,509869
293,Fabio Estevam ,286,173131
294,Sean Young ,13,3991186
295,Jakub Kicinski ,85,548556
296,Greg Thelen ,7,7604190
297,Mike Kravetz ,28,1618050
298,Junxiao Bi ,22,1467414
299,Hans de Goede ,350,139728
300,Naoya Horiguchi ,38,1180739
301,Jann Horn ,26,1565080
302,Shiraz Hashim ,1,0
303,Alexey Dobriyan ,23,2041008
304,Vlastimil Babka ,77,574833
305,Tetsuo Handa ,27,1343087
306,Mario Kleiner ,37,1337414
307,Eugeniy Paltsev ,2,4873417
308,Andreas Larsson ,2,16947345
309,Peter Rosin ,45,799442
310,Wolfram Sang ,473,99295
311,Ilya Dryomov ,150,292503
312,"Yan, Zheng ",129,352492
313,Ram Amrani ,19,1214170
314,Shawn Lin ,138,284627
315,Lance Richardson ,12,2408242
316,Chuck Lever ,199,230021
317,Hui Wang ,21,2173581
318,Allan Chou ,1,0
319,Mathias Krause ,40,1137916
320,Richard Weinberger ,109,442180
321,John Allen ,6,5183902
322,Timur Tabi ,19,2309563
323,Adam Ford ,26,1192819
324,Sebastian Andrzej Siewior ,93,526219
325,Rafał Miłecki ,170,282445
326,Benjamin Poirier ,18,2322196
327,Maciej Żenczykowski ,4,1166901
328,Soheil Hassas Yeganeh ,16,1261070
329,Sumit Saxena ,26,1264945
330,Yazen Ghannam ,28,1259787
331,Namhyung Kim ,231,210385
332,Lucas Stach ,137,333596
333,Marcin Wojtas ,30,1360400
334,Gregory CLEMENT ,67,697642
335,Varun Prakash ,45,454971
336,Bjorn Helgaas ,280,170703
337,Noam Camus ,39,1197828
338,Andrew Shadura ,2,20996739
339,Joerg Roedel ,197,233280
340,Phil Reid ,24,1399210
341,Heiko Carstens ,166,288013
342,Fabian Mewes ,1,0
343,Michael S. Tsirkin ,108,444472
344,Nicolae Rosia ,1,0
345,Dave Gerlach ,45,1030742
346,Shuah Khan ,79,557531
347,Anna Schumaker ,20,2346185
348,Dhinakaran Pandiyan ,5,1269459
349,Lyude ,57,522914
350,Christophe JAILLET ,37,1156511
351,Ulf Hansson ,97,469966
352,Adrian Hunter ,289,167385
353,Lukas Wunner ,106,416929
354,Marc Dietrich ,1,0
356,Ian Abbott ,197,245451
357,Andrew Jeffery ,18,990136
358,Huacai Chen ,25,1917132
359,Doug Brown ,1,0
360,Oliver Neukum ,72,593828
361,David Lechner ,25,745649
362,Catalin Marinas ,55,819625
363,"Ooi, Joyce ",1,0
364,Srinivas Pandruvada ,74,656265
366,Axel Haslam ,28,1058120
367,Randy Li ,8,1098155
368,Tero Kristo ,74,617260
369,Lokesh Vutla ,24,1795292
370,Vladimir Zapolskiy ,202,233584
371,Huy Nguyen ,2,22563010
372,Or Gerlitz ,70,663229
373,Shih-Wei Li ,1,0
374,Andre Przywara ,92,503121
375,Archit Taneja ,152,305068
376,Stéphan Rafin ,1,0
377,James Hogan ,269,173867
378,Maciej W. Rozycki ,56,787338
379,Guilherme G. Piccoli ,13,3134624
380,Alexey Brodkin ,50,887242
381,Stefan Richter ,6,6290269
382,Gerd Hoffmann ,28,1746810
383,Owen Hofmann ,2,21207261
384,Dongli Zhang ,2,170884
385,Jim Mattson ,4,3199039
386,Sylwester Nawrocki ,52,521678
387,Rob Clark ,86,518300
388,Scott Wood ,46,994385
389,Emil Lundmark ,1,0
390,Bill Kuzeja ,1,0
391,Jason Gunthorpe ,44,958183
392,David Jeffery ,2,37284038
393,Sreekanth Reddy ,42,912431
394,tang.junhui ,3,1542255
395,Isaac Boukris ,1,0
396,Iyappan Subramanian ,55,881335
397,Stephen Hemminger ,33,1422472
398,Felipe Balbi ,211,223735
399,Laura Abbott ,52,831459
400,Alexandre TORGUE ,43,502523
401,Patrice Chotard ,37,668237
402,Ray Jui ,56,843739
403,Masahiro Yamada ,373,125450
404,Lars-Peter Clausen ,348,137795
405,Lukas Resch ,1,0
406,Srinivas Kandagatla ,193,248800
407,Jakub Sitnicki ,25,1870522
408,Christian König ,461,98438
409,Grazvydas Ignotas ,28,1498324
410,Alexander Usyskin ,84,547469
411,Larry Finger ,74,585443
412,Jarkko Sakkinen ,57,775658
413,Rob Herring ,103,466481
414,Vivek Gautam ,2,3837277
415,Mark Lord ,1,0
416,Markus Elfring ,259,165196
417,Juergen Gross ,57,722683
418,Konstantin Neumoin ,2,7789010
419,Ladi Prosek ,2,20935191
420,Will Deacon ,185,256042
421,Jan Kara ,185,257456
422,Lorenzo Bianconi ,8,5468373
423,Ashok Raj ,9,5517897
424,Boris Brezillon ,255,179866
425,Geert Uytterhoeven ,916,52061
426,pravin shelar ,6,1419601
427,Roger Quadros ,103,438446
428,Govindarajulu Varadarajan ,14,3272402
429,David S. Miller ,86,530300
430,Ivan Vecera ,45,1076113
431,Eugenia Emantayev ,10,3033838
432,Erez Shitrit ,15,2919872
433,shamir rabinovitch ,4,5902750
434,Willem de Bruijn ,35,1359457
435,Ganesh Goudar ,4,3340860
436,Yuan Yao ,9,4062646
437,Craig Gallek ,27,1666690
438,Noa Osherovich ,16,2452273
439,Paul Blakey ,5,1527161
440,NeilBrown ,119,395795
441,Tomasz Majchrzak ,8,1696199
442,Shaohua Li ,76,621349
443,Jon Medhurst (Tixy) ,5,10012622
444,Charles Keepax ,204,234136
445,Stephen Barber ,5,10825891
446,"Sodhi, VunnyX ",1,0
447,Gabriel Krisman Bertazi ,19,2469905
448,Jorgen Hansen ,7,5355652
449,Gerald Schaefer ,17,2441771
450,Martyn Welch ,9,4391532
451,Tvrtko Ursulin ,127,384773
452,Paulo Zanoni ,116,390026
453,Daniel Stone ,24,2029044
454,Imre Deak ,236,208805
455,Jani Nikula ,290,172203
456,Richard Genoud ,4,9357739
457,Ido Yariv ,4,14946002
458,Imre Palik ,1,0
459,Jiri Olsa ,425,111629
460,Dimitri Sivanich ,3,7637246
461,Daniel Mentz ,4,9108385
462,Martin Kepplinger ,41,1033126
463,Leon Yu ,2,33637921
464,Aristeu Rozanski ,6,7173459
465,Aruna Ramakrishna ,1,0
466,Joe Perches ,217,221861
467,Alexander Polakov ,1,0
468,Mark Rutland ,169,274852
469,Andrey Konovalov ,10,4336294
470,Joonsoo Kim ,82,499291
471,Huaibin Wang ,1,0
472,Jamal Hadi Salim ,31,1561552
473,Guilherme G Piccoli ,2,2051035
474,David Ertman ,1,0
475,Emil Tantilov ,36,1141415
476,Zefir Kurtisi ,11,4193110
477,Chris Mason ,23,1849220
478,John W. Linville ,15,3288470
479,Ulrich Weber ,1,0
480,Tony Luck ,38,1195843
481,Scot Doyle ,5,11575855
482,Francois Berder ,1,0
483,Sergei Shtylyov ,230,190272
484,Steve Shih ,2,14404699
485,Aaron Brice ,2,1237433
486,Denys Vlasenko ,110,439378
487,Nava kishore Manne ,6,607852
488,Valentin Rothberg ,43,1110037
489,Marcel Hasler ,1,0
490,David Howells ,338,156594
491,Ching Huang ,9,3576361
492,Ewan D. Milne ,3,10626834
493,J. Bruce Fields ,40,1127766
494,Vlad Tsyrklevich ,3,571481
495,Neeraj Upadhyay ,1,0
496,Hanjun Guo ,24,1997826
497,Yisheng Xie ,4,537107
498,Ming Lei ,55,863602
499,Janosch Frank ,15,2042741
500,Arnaud Pouliquen ,19,2409432
501,Steven Rostedt ,31,1453094
502,Felix Monninger ,1,0
503,James Clarke ,1,0
504,Rusty Russell ,17,2649989
505,Jean Delvare ,66,716095
506,Javier Martinez Canillas ,553,82803
507,Greg Ungerer ,38,1153794
508,Ralf Ramsauer ,5,4228789
509,Jan Beulich ,51,891690
510,David Wu ,18,1309873
511,Ruqiang Ju ,1,0
512,Stefan Wahren ,71,669333
513,Long Li ,2,27607965
514,Lorenzo Stoakes ,14,3203300
515,Kashyap Desai ,1,0
516,Dmitry Tunin ,15,3155378
518,Amir Goldstein ,1,0
519,Atish Patra ,3,1128007
520,Arve Hjønnevåg ,3,11040331
521,Wang Xiaoguang ,14,817088
522,Goldwyn Rodrigues ,29,1418525
523,Bard Liao ,51,940300
524,Jon Hunter ,186,248836
525,Yoshihiro Shimoda ,95,500784
526,Punit Agrawal ,17,2907016
527,Bryan Paluch ,1,0
528,Wenyou Yang ,36,1013846
529,Sinan Kaya ,35,755815
530,Paul Mackerras ,48,946706
531,Darrick J. Wong ,178,239230
532,Brian Foster ,85,528879
533,Vaibhav Jain ,12,3997042
534,Liu Gang ,11,2738925
535,Jason A. Donenfeld ,14,3052208
536,Sudarsana Reddy Kalluru ,41,535720
537,Sandhya Bankar ,93,225967
538,Manish Chopra ,33,1310357
539,Paul Moore ,24,1769624
540,Segher Boessenkool ,2,1854418
541,jimqu ,9,3476664
542,Evan Quan ,1,0
543,Tom St Denis ,119,237059
544,Linus Lüssing ,27,1780333
545,Sudip Mukherjee ,381,123162
546,Axel Lin ,299,157357
547,Jiri Bohac ,3,265498
548,Rich Felker ,40,799304
549,Christian Borntraeger ,74,630080
550,Pablo Neira Ayuso ,120,380443
551,Nicolas Dichtel ,72,644538
552,Mathias Nyman ,65,686315
553,Gavin Shan ,145,316320
554,Elad Raz ,29,1291904
555,Philipp Zabel ,163,288541
556,David Arcari ,1,0
557,Ard Biesheuvel ,241,191173
558,James Morse ,59,671754
559,Jacob Siverskog ,5,7226613
560,Alex Thorlton ,9,2968117
561,Eric Ernst ,1,0
562,Roger Willcocks ,1,0
563,Eric Sandeen ,42,1069067
564,Nicholas Bellinger ,75,591809
565,Dinesh Israni ,1,0
566,Andy Grover ,16,2614489
567,Azael Avalos ,57,820685
568,Patrick Scheuring ,1,0
569,Toshi Kani ,96,479631
570,Michał Narajowski ,12,235107
571,Renat Valiullin ,2,1230783
572,Eric Garver ,4,4100297
573,Lukasz Odzioba ,6,6410100
574,Vincent Guittot ,5,9571204
575,Stephen Rothwell ,35,1280707
576,Heiner Kallweit ,152,289815
577,Frederic Barrat ,22,1300730
578,Luca Coelho ,41,820429
579,LABBE Corentin ,90,504907
580,Sara Sharon ,139,315525
581,Haim Dreyfuss ,15,2727406
582,Andrew Lutomirski ,1,0
583,Junzhi Zhao ,3,13
584,Mike Snitzer ,117,383680
585,Nikolay Aleksandrov ,154,279832
586,Tahsin Erdogan ,7,7208808
587,John Youn ,80,496411
588,Liu Ying ,43,1090117
589,Shawn Guo ,42,1059275
590,Eric Anholt ,136,334440
591,Scott Branden ,1,0
592,Jisheng Zhang ,139,323099
593,Junjie Mao ,3,18584246
594,Dave Hansen ,140,308586
595,Heinz Mauelshagen ,63,706666
596,Jitendra Bhivare ,62,335162
597,Chris Packham ,4,11816573
598,Vladimir Murzin ,51,851963
599,Tai Nguyen ,6,6857108
600,Lorenzo Pieralisi ,53,881878
601,Stefan Tauner ,1,0
602,Anton Blanchard ,65,679667
603,Wang Nan ,260,179148
604,Liu Bo ,52,850641
605,Alan Stern ,37,1268598
606,Haibo Chen ,21,1801516
607,Michal Nazarewicz ,22,1928229
608,Heiko Stuebner ,135,347589
609,Shyam Saini ,3,6949787
610,Sebastian Ott ,83,512941
611,Alexandre Belloni ,209,214660
612,Oleg Drokin ,399,115271
613,Aditya Shankar ,2,4895194
614,Daniel Vetter ,578,83248
615,Jonathan Liu ,4,11267343
616,Joonas Lahtinen ,29,1625927
617,Nikolay Borisov ,40,1152312
618,Dave Jones ,10,2659371
619,Vivek Goyal ,27,1426772
620,Vegard Nossum ,67,399533
621,Brian King ,16,2881292
622,Jesse Brandeburg ,83,532510
623,Steve French ,46,911366
624,Ralf Baechle ,62,681179
625,kbuild test robot ,78,614004
626,Brenden Blanco ,20,2366897
627,Yuval Mintz ,137,303078
628,Alexander Alemayhu ,1,0
629,Vadim Fedorenko ,1,0
630,Longpeng(Mike) ,1,0
631,Wanpeng Li ,59,719759
632,Pavel Shilovsky ,4,6559747
633,Germano Percossi ,1,0
634,David Vrabel ,35,1331971
635,Tom Herbert ,135,340771
636,Bjørn Mork ,38,833560
637,Jiri Benc ,99,397117
638,Paul Durrant ,18,2067487
639,Adam Williamson ,1,0
640,Marty Faltesek ,5,7574494
641,Jérôme de Bretagne ,2,18707733
642,Taesoo Kim ,1,0
643,Jaegeuk Kim ,305,148982
644,Arindam Nath ,8,2766710
645,Marek Olšák ,15,3117912
646,Nicolai Hähnle ,16,1814320
647,Aaro Koskinen ,128,361361
648,Takashi Sakamoto ,203,217478
649,Stephen Bates ,5,607036
650,Aurelien Aptel ,2,6614257
651,Ross Lagerwall ,13,3135527
652,Thomas Petazzoni ,137,319708
653,Marcin Nowakowski ,11,405592
654,Oleksij Rempel ,24,1897100
655,Filipe Manana ,123,352195
656,Brian Masney ,2,1888455
657,Michael Braun ,1,0
658,Marcos Paulo de Souza ,2,689367
659,Sangwon Jee ,6,4098746
660,John Siddle ,1,0
661,Jonathan Corbet ,41,1167391
662,Petr Mladek ,27,1609207
663,Mathieu Maret ,1,0
664,Thomas Garnier ,17,782078
665,Davidlohr Bueso ,57,806126
666,Manfred Spraul ,2,36630601
667,Alexander Potapenko ,18,1016148
668,Maciej S. Szmigiero ,42,1091953
669,Hidehiro Kawai ,17,2182065
670,Jason Cooper ,8,574440
671,Alexandre Bounine ,46,389720
672,Ales Novak ,3,15157730
673,Michael Kerrisk (man-pages) ,9,2687369
674,Tomohiro Kusumi ,20,1573201
675,Ian Kent ,15,1295533
676,Ross Zwisler ,67,680152
677,Guozhonghua ,4,6541952
678,Xose Vazquez Perez ,4,5841092
679,Bartosz Golaszewski ,37,1207991
680,Andy Whitcroft ,2,36687768
681,SeongJae Park ,22,1201276
682,Kishon Vijay Abraham I ,68,596840
683,murray foster ,1,0
684,Laurent Dufour ,10,4899875
685,Mark Brown ,82,560983
686,Tobias Jakobi ,43,831758
687,Emese Revfy ,10,1200363
688,Thomas Hellstrom ,62,612249
689,Charmaine Lee ,5,9181026
690,Baole Ni ,1,0
691,Shawn Lee ,1,0
692,Baoyou Xie ,91,57501
693,Andrej Krutak ,16,282362
694,Marek Vasut ,72,634199
695,Stefan Christ ,7,2958187
696,Steinar H. Gunderson ,3,10295597
697,Ioan-Adrian Ratiu ,6,7663851
698,Suresh Reddy ,19,2489812
699,Sriharsha Basavapatna ,12,3474268
700,Paul Gortmaker ,377,119327
701,Luis de Bethencourt ,193,206671
702,Salah Triki ,38,864050
703,Nathan Sullivan ,8,6157615
704,Alex Sidorenko ,1,0
706,John Stultz ,53,1209597
707,zijun_hu ,9,767991
708,zhong jiang ,7,1023988
709,Wei Fang ,10,4536378
710,Andrea Arcangeli ,52,676084
711,Wanlong Gao ,1,0
712,Rasmus Villemoes ,141,321051
713,Andrew Morton ,48,916778
714,Huang Ying ,8,1236440
715,Reza Arbab ,5,1579007
716,Tim Chen ,5,8914034
717,Simon Guo ,10,4761298
718,Srikar Dronamraju ,19,2288344
719,Xishi Qiu ,11,3629819
720,Vladimir Davydov ,76,542637
721,Joseph Qi ,42,1012142
722,Bhaktipriya Shridhar ,203,125484
723,Doug Ledford ,19,2165514
724,Yuval Shaia ,5,9744815
725,kernel@kyup.com ,1,0
726,Aviv Heller ,16,704413
727,Yishai Hadas ,24,1517430
728,Alex Vesker ,10,1020335
729,Prarit Bhargava ,42,1091584
730,Jes Sorensen ,352,129444
731,Ethan Hsieh ,1,0
732,Nelson Chang ,10,392407
733,Jon Mason ,67,517398
734,Anoob Soman ,1,0
735,Mike Looijmans ,19,2357293
736,Raju Lakkaraju ,5,1275781
737,Laurent Pinchart ,366,119311
738,Mugunthan V N ,25,1677715
739,Parav Pandit ,10,4856518
740,Jaedon Shin ,31,1361714
741,Olof Johansson ,11,3859901
742,Sathyanarayana Nujella ,5,6331156
743,Boris Ostrovsky ,30,1230377
744,Ley Foon Tan ,17,2538099
745,Amitkumar Karwar ,67,643506
746,netmonk@netmonk.org ,1,0
748,Nambong Ha ,1,0
749,Donghyun Kim ,1,0
750,Kim SeonYoung ,1,0
751,Mikulas Patocka ,43,979701
752,Andi Kleen ,116,394686
753,Pierre Morel ,8,5556240
754,Ravi Bangoria ,17,1423734
755,Julia Lawall ,436,104039
756,sylvain.bertrand@gmail.com ,1,0
757,Justin Maggard ,6,7295084
758,Deepa Dinamani ,26,1236775
759,Ben Gamari ,6,6114417
760,Rajat Jain ,1,0
761,Huang Rui ,76,571518
762,Richard Fitzgerald ,58,764409
763,Peter Ujfalusi ,279,161381
764,Lee Jones ,190,239555
765,Marcin Niestroj ,9,1865763
766,Steve Twiss ,21,2085913
767,Lu Baolu ,21,1908870
768,Krzysztof Kozlowski ,483,95739
769,Keerthy ,51,758833
770,Bin Gao ,6,1763549
771,Yang Ling ,5,230769
772,Fabian Frederick ,99,457251
773,Álvaro Fernández Rojas ,44,1042481
774,Naveen N. Rao ,38,1211334
775,Cyril Bur ,43,1008226
776,Ingo Molnar ,373,120111
777,Madalin Bucur ,15,2594732
778,Igal Liberman ,20,2224385
779,Tomeu Vizoso ,45,1018639
780,Emilio López ,17,2219654
781,Andrew Collins ,1,0
782,Petr Kulhavy ,23,838822
783,Laszlo Ersek ,3,14449975
784,Stefan Assmann ,14,2739618
785,Shmulik Ladkani ,12,1161769
786,Sukadev Bhattiprolu ,31,1365744
787,Matti Kurkela ,1,0
788,John Crispin ,100,285926
789,David Sterba ,147,289141
790,Omar Sandoval ,41,1055366
791,Salil ,8,3750231
794,Daode Huang ,24,731882
795,Kejian Yan ,28,623455
796,lipeng ,3,15317973
797,Andreas Gerstmayr ,1,0
798,Xie XiuQi ,8,6110490
799,Brian Boylston ,3,3347507
800,Jacob Keller ,161,255621
801,Bjorn Andersson ,156,289824
802,Gavin Schenk ,1,0
803,Pascal Eberhard ,1,0
804,Srinivas Ramana ,1,0
