author,times,average
Janakarajan Natarajan ,1,0
Johannes Berg ,352,142242
Michael Neuling ,50,941638
Wei Yongjun ,326,154555
Cédric Le Goater ,4,15336064
Dave Airlie ,71,658499
Tony Lindgren ,210,232700
Brian Norris ,197,247008
Abhi Das ,10,5390631
Andreas Gruenbacher ,111,422245
Dmitry Torokhov ,112,433934
Steve Wise ,39,1212991
Yonatan Cohen ,8,756425
Matan Barak ,61,771508
Daniel Jurgens ,14,1817050
Eli Cohen ,35,1054136
Moshe Lazer ,3,11236672
Maor Gottlieb ,69,497953
Majd Dibbiny ,26,1835334
Mark Bloch ,21,808091
Leon Romanovsky ,33,1379726
Joao Pinto ,23,985997
Lv Zheng ,190,251841
Keno Fischer ,1,0
Keith Busch ,117,405168
Stephen Boyd ,465,105935
Sunil Goutham ,64,739208
Radha Mohan Chintakuntla ,4,13701816
Mike Marshall ,66,545051
Paul Jakma ,1,0
Heikki Krogerus ,66,734663
Azhar Shaikh ,1,0
Kan Liang ,63,735481
David Herrmann ,23,2203356
Ville Syrjälä ,712,72404
Pablo Neira ,14,3670753
Alexander Kochetkov ,9,3177362
Giuseppe CAVALLARO ,22,1444981
Hangbin Liu ,5,10240119
Dennis Dalessandro ,123,314982
Jianxin Xiong ,21,1079199
Dasaratharaman Chandramouli ,10,5421451
Jakub Pawlak ,8,2294549
Krzysztof Blaszkowski ,2,3
Ira Weiny ,98,487361
Easwar Hariharan ,32,1074541
Tadeusz Struk ,95,506080
Monk Liu ,47,524020
Peter Chen ,125,395695
Jia Jie Ho ,1,0
Marek Szyprowski ,190,250773
Benjamin Beichler ,1,0
Felix Fietkau ,62,787524
"Pedersen, Thomas ",4,1846935
Filip Matusiak ,1,0
Petr Vandrovec ,2,651442
Ido Schimmel ,198,207715
Steven Rostedt (Red Hat) ,144,332999
Alexei Starovoitov ,110,444478
Xin Long ,73,404379
Baoquan He ,26,1666631
Hoan Tran ,11,1244089
H. Nikolaus Schaller ,35,1415998
Max Filippov ,78,577116
Thomas Tai ,2,323588
Colin Ian King ,282,176405
Mauro Carvalho Chehab ,1175,41667
Scott Mayhew ,9,6047761
Axl-zhang ,1,0
Sagi Grimberg ,153,309941
Bart Van Assche ,178,266167
Dave Jiang ,107,406042
Nicholas Mc Guire ,76,682204
Bert Kenward ,20,2019077
Arkadi Sharshevsky ,1,0
Yotam Gigi ,19,629148
Michael Chan ,113,299028
Mike Frysinger ,5,9310619
Stephen Suryaputra Lin ,1,0
Guenter Roeck ,242,192064
Sven Ebenfeld ,1,0
Matt Fleming ,63,746950
Baruch Siach ,40,1230169
Martin KaFai Lau ,54,914786
Jens Axboe ,86,566000
Andrey Grodzovsky ,5,6078627
Hugh Dickins ,43,923885
Matias Bjørling ,88,509869
Fabio Estevam ,286,173131
Sean Young ,13,3991186
Jakub Kicinski ,85,548556
Greg Thelen ,7,7604190
Mike Kravetz ,28,1618050
Junxiao Bi ,22,1467414
Hans de Goede ,350,139728
Naoya Horiguchi ,38,1180739
Jann Horn ,26,1565080
Shiraz Hashim ,1,0
Alexey Dobriyan ,23,2041008
Vlastimil Babka ,77,574833
Tetsuo Handa ,27,1343087
Mario Kleiner ,37,1337414
Eugeniy Paltsev ,2,4873417
Andreas Larsson ,2,16947345
Peter Rosin ,45,799442
Wolfram Sang ,473,99295
Ilya Dryomov ,150,292503
"Yan, Zheng ",129,352492
Ram Amrani ,19,1214170
Shawn Lin ,138,284627
Lance Richardson ,12,2408242
Chuck Lever ,199,230021
Hui Wang ,21,2173581
Allan Chou ,1,0
Mathias Krause ,40,1137916
Richard Weinberger ,109,442180
John Allen ,6,5183902
Timur Tabi ,19,2309563
Adam Ford ,26,1192819
Sebastian Andrzej Siewior ,93,526219
Rafał Miłecki ,170,282445
Benjamin Poirier ,18,2322196
Maciej Żenczykowski ,4,1166901
Soheil Hassas Yeganeh ,16,1261070
Sumit Saxena ,26,1264945
Yazen Ghannam ,28,1259787
Namhyung Kim ,231,210385
Lucas Stach ,137,333596
Marcin Wojtas ,30,1360400
Gregory CLEMENT ,67,697642
Varun Prakash ,45,454971
Bjorn Helgaas ,280,170703
Noam Camus ,39,1197828
Andrew Shadura ,2,20996739
Joerg Roedel ,197,233280
Phil Reid ,24,1399210
Heiko Carstens ,166,288013
Fabian Mewes ,1,0
Michael S. Tsirkin ,108,444472
Nicolae Rosia ,1,0
Dave Gerlach ,45,1030742
Shuah Khan ,79,557531
Anna Schumaker ,20,2346185
Dhinakaran Pandiyan ,5,1269459
Lyude ,57,522914
Christophe JAILLET ,37,1156511
Ulf Hansson ,97,469966
Adrian Hunter ,289,167385
Lukas Wunner ,106,416929
Marc Dietrich ,1,0
Paul Fertser ,2,0
Ian Abbott ,197,245451
Andrew Jeffery ,18,990136
Huacai Chen ,25,1917132
Doug Brown ,1,0
Oliver Neukum ,72,593828
David Lechner ,25,745649
Catalin Marinas ,55,819625
"Ooi, Joyce ",1,0
Srinivas Pandruvada ,74,656265
Even Xu ,3,0
Axel Haslam ,28,1058120
Randy Li ,8,1098155
Tero Kristo ,74,617260
Lokesh Vutla ,24,1795292
Vladimir Zapolskiy ,202,233584
Huy Nguyen ,2,22563010
Or Gerlitz ,70,663229
Shih-Wei Li ,1,0
Andre Przywara ,92,503121
Archit Taneja ,152,305068
Stéphan Rafin ,1,0
James Hogan ,269,173867
Maciej W. Rozycki ,56,787338
Guilherme G. Piccoli ,13,3134624
Alexey Brodkin ,50,887242
Stefan Richter ,6,6290269
Gerd Hoffmann ,28,1746810
Owen Hofmann ,2,21207261
Dongli Zhang ,2,170884
Jim Mattson ,4,3199039
Sylwester Nawrocki ,52,521678
Rob Clark ,86,518300
Scott Wood ,46,994385
Emil Lundmark ,1,0
Bill Kuzeja ,1,0
Jason Gunthorpe ,44,958183
David Jeffery ,2,37284038
Sreekanth Reddy ,42,912431
tang.junhui ,3,1542255
Isaac Boukris ,1,0
Iyappan Subramanian ,55,881335
Stephen Hemminger ,33,1422472
Felipe Balbi ,211,223735
Laura Abbott ,52,831459
Alexandre TORGUE ,43,502523
Patrice Chotard ,37,668237
Ray Jui ,56,843739
Masahiro Yamada ,373,125450
Lars-Peter Clausen ,348,137795
Lukas Resch ,1,0
Srinivas Kandagatla ,193,248800
Jakub Sitnicki ,25,1870522
Christian König ,461,98438
Grazvydas Ignotas ,28,1498324
Alexander Usyskin ,84,547469
Larry Finger ,74,585443
Jarkko Sakkinen ,57,775658
Rob Herring ,103,466481
Vivek Gautam ,2,3837277
Mark Lord ,1,0
Markus Elfring ,259,165196
Juergen Gross ,57,722683
Konstantin Neumoin ,2,7789010
Ladi Prosek ,2,20935191
Will Deacon ,185,256042
Jan Kara ,185,257456
Lorenzo Bianconi ,8,5468373
Ashok Raj ,9,5517897
Boris Brezillon ,255,179866
Geert Uytterhoeven ,916,52061
pravin shelar ,6,1419601
Roger Quadros ,103,438446
Govindarajulu Varadarajan ,14,3272402
David S. Miller ,86,530300
Ivan Vecera ,45,1076113
Eugenia Emantayev ,10,3033838
Erez Shitrit ,15,2919872
shamir rabinovitch ,4,5902750
Willem de Bruijn ,35,1359457
Ganesh Goudar ,4,3340860
Yuan Yao ,9,4062646
Craig Gallek ,27,1666690
Noa Osherovich ,16,2452273
Paul Blakey ,5,1527161
NeilBrown ,119,395795
Tomasz Majchrzak ,8,1696199
Shaohua Li ,76,621349
Jon Medhurst (Tixy) ,5,10012622
Charles Keepax ,204,234136
Stephen Barber ,5,10825891
"Sodhi, VunnyX ",1,0
Gabriel Krisman Bertazi ,19,2469905
Jorgen Hansen ,7,5355652
Gerald Schaefer ,17,2441771
Martyn Welch ,9,4391532
Tvrtko Ursulin ,127,384773
Paulo Zanoni ,116,390026
Daniel Stone ,24,2029044
Imre Deak ,236,208805
Jani Nikula ,290,172203
Richard Genoud ,4,9357739
Ido Yariv ,4,14946002
Imre Palik ,1,0
Jiri Olsa ,425,111629
Dimitri Sivanich ,3,7637246
Daniel Mentz ,4,9108385
Martin Kepplinger ,41,1033126
Leon Yu ,2,33637921
Aristeu Rozanski ,6,7173459
Aruna Ramakrishna ,1,0
Joe Perches ,217,221861
Alexander Polakov ,1,0
Mark Rutland ,169,274852
Andrey Konovalov ,10,4336294
Joonsoo Kim ,82,499291
Huaibin Wang ,1,0
Jamal Hadi Salim ,31,1561552
Guilherme G Piccoli ,2,2051035
David Ertman ,1,0
Emil Tantilov ,36,1141415
Zefir Kurtisi ,11,4193110
Chris Mason ,23,1849220
John W. Linville ,15,3288470
Ulrich Weber ,1,0
Tony Luck ,38,1195843
Scot Doyle ,5,11575855
Francois Berder ,1,0
Sergei Shtylyov ,230,190272
Steve Shih ,2,14404699
Aaron Brice ,2,1237433
Denys Vlasenko ,110,439378
Nava kishore Manne ,6,607852
Valentin Rothberg ,43,1110037
Marcel Hasler ,1,0
David Howells ,338,156594
Ching Huang ,9,3576361
Ewan D. Milne ,3,10626834
J. Bruce Fields ,40,1127766
Vlad Tsyrklevich ,3,571481
Neeraj Upadhyay ,1,0
Hanjun Guo ,24,1997826
Yisheng Xie ,4,537107
Ming Lei ,55,863602
Janosch Frank ,15,2042741
Arnaud Pouliquen ,19,2409432
Steven Rostedt ,31,1453094
Felix Monninger ,1,0
James Clarke ,1,0
Rusty Russell ,17,2649989
Jean Delvare ,66,716095
Javier Martinez Canillas ,553,82803
Greg Ungerer ,38,1153794
Ralf Ramsauer ,5,4228789
Jan Beulich ,51,891690
David Wu ,18,1309873
Ruqiang Ju ,1,0
Stefan Wahren ,71,669333
Long Li ,2,27607965
Lorenzo Stoakes ,14,3203300
Kashyap Desai ,1,0
Dmitry Tunin ,15,3155378
Zhengyuan Liu ,2,0
Amir Goldstein ,1,0
Atish Patra ,3,1128007
Arve Hjønnevåg ,3,11040331
Wang Xiaoguang ,14,817088
Goldwyn Rodrigues ,29,1418525
Bard Liao ,51,940300
Jon Hunter ,186,248836
Yoshihiro Shimoda ,95,500784
Punit Agrawal ,17,2907016
Bryan Paluch ,1,0
Wenyou Yang ,36,1013846
Sinan Kaya ,35,755815
Paul Mackerras ,48,946706
Darrick J. Wong ,178,239230
Brian Foster ,85,528879
Vaibhav Jain ,12,3997042
Liu Gang ,11,2738925
Jason A. Donenfeld ,14,3052208
Sudarsana Reddy Kalluru ,41,535720
Sandhya Bankar ,93,225967
Manish Chopra ,33,1310357
Paul Moore ,24,1769624
Segher Boessenkool ,2,1854418
jimqu ,9,3476664
Evan Quan ,1,0
Tom St Denis ,119,237059
Linus Lüssing ,27,1780333
Sudip Mukherjee ,381,123162
Axel Lin ,299,157357
Jiri Bohac ,3,265498
Rich Felker ,40,799304
Christian Borntraeger ,74,630080
Pablo Neira Ayuso ,120,380443
Nicolas Dichtel ,72,644538
Mathias Nyman ,65,686315
Gavin Shan ,145,316320
Elad Raz ,29,1291904
Philipp Zabel ,163,288541
David Arcari ,1,0
Ard Biesheuvel ,241,191173
James Morse ,59,671754
Jacob Siverskog ,5,7226613
Alex Thorlton ,9,2968117
Eric Ernst ,1,0
Roger Willcocks ,1,0
Eric Sandeen ,42,1069067
Nicholas Bellinger ,75,591809
Dinesh Israni ,1,0
Andy Grover ,16,2614489
Azael Avalos ,57,820685
Patrick Scheuring ,1,0
Toshi Kani ,96,479631
Michał Narajowski ,12,235107
Renat Valiullin ,2,1230783
Eric Garver ,4,4100297
Lukasz Odzioba ,6,6410100
Vincent Guittot ,5,9571204
Stephen Rothwell ,35,1280707
Heiner Kallweit ,152,289815
Frederic Barrat ,22,1300730
Luca Coelho ,41,820429
LABBE Corentin ,90,504907
Sara Sharon ,139,315525
Haim Dreyfuss ,15,2727406
Andrew Lutomirski ,1,0
Junzhi Zhao ,3,13
Mike Snitzer ,117,383680
Nikolay Aleksandrov ,154,279832
Tahsin Erdogan ,7,7208808
John Youn ,80,496411
Liu Ying ,43,1090117
Shawn Guo ,42,1059275
Eric Anholt ,136,334440
Scott Branden ,1,0
Jisheng Zhang ,139,323099
Junjie Mao ,3,18584246
Dave Hansen ,140,308586
Heinz Mauelshagen ,63,706666
Jitendra Bhivare ,62,335162
Chris Packham ,4,11816573
Vladimir Murzin ,51,851963
Tai Nguyen ,6,6857108
Lorenzo Pieralisi ,53,881878
Stefan Tauner ,1,0
Anton Blanchard ,65,679667
Wang Nan ,260,179148
Liu Bo ,52,850641
Alan Stern ,37,1268598
Haibo Chen ,21,1801516
Michal Nazarewicz ,22,1928229
Heiko Stuebner ,135,347589
Shyam Saini ,3,6949787
Sebastian Ott ,83,512941
Alexandre Belloni ,209,214660
Oleg Drokin ,399,115271
Aditya Shankar ,2,4895194
Daniel Vetter ,578,83248
Jonathan Liu ,4,11267343
Joonas Lahtinen ,29,1625927
Nikolay Borisov ,40,1152312
Dave Jones ,10,2659371
Vivek Goyal ,27,1426772
Vegard Nossum ,67,399533
Brian King ,16,2881292
Jesse Brandeburg ,83,532510
Steve French ,46,911366
Ralf Baechle ,62,681179
kbuild test robot ,78,614004
Brenden Blanco ,20,2366897
Yuval Mintz ,137,303078
Alexander Alemayhu ,1,0
Vadim Fedorenko ,1,0
Longpeng(Mike) ,1,0
Wanpeng Li ,59,719759
Pavel Shilovsky ,4,6559747
Germano Percossi ,1,0
David Vrabel ,35,1331971
Tom Herbert ,135,340771
Bjørn Mork ,38,833560
Jiri Benc ,99,397117
Paul Durrant ,18,2067487
Adam Williamson ,1,0
Marty Faltesek ,5,7574494
Jérôme de Bretagne ,2,18707733
Taesoo Kim ,1,0
Jaegeuk Kim ,305,148982
Arindam Nath ,8,2766710
Marek Olšák ,15,3117912
Nicolai Hähnle ,16,1814320
Aaro Koskinen ,128,361361
Takashi Sakamoto ,203,217478
Stephen Bates ,5,607036
Aurelien Aptel ,2,6614257
Ross Lagerwall ,13,3135527
Thomas Petazzoni ,137,319708
Marcin Nowakowski ,11,405592
Oleksij Rempel ,24,1897100
Filipe Manana ,123,352195
Brian Masney ,2,1888455
Michael Braun ,1,0
Marcos Paulo de Souza ,2,689367
Sangwon Jee ,6,4098746
John Siddle ,1,0
Jonathan Corbet ,41,1167391
Petr Mladek ,27,1609207
Mathieu Maret ,1,0
Thomas Garnier ,17,782078
Davidlohr Bueso ,57,806126
Manfred Spraul ,2,36630601
Alexander Potapenko ,18,1016148
Maciej S. Szmigiero ,42,1091953
Hidehiro Kawai ,17,2182065
Jason Cooper ,8,574440
Alexandre Bounine ,46,389720
Ales Novak ,3,15157730
Michael Kerrisk (man-pages) ,9,2687369
Tomohiro Kusumi ,20,1573201
Ian Kent ,15,1295533
Ross Zwisler ,67,680152
Guozhonghua ,4,6541952
Xose Vazquez Perez ,4,5841092
Bartosz Golaszewski ,37,1207991
Andy Whitcroft ,2,36687768
SeongJae Park ,22,1201276
Kishon Vijay Abraham I ,68,596840
murray foster ,1,0
Laurent Dufour ,10,4899875
Mark Brown ,82,560983
Tobias Jakobi ,43,831758
Emese Revfy ,10,1200363
Thomas Hellstrom ,62,612249
Charmaine Lee ,5,9181026
Baole Ni ,1,0
Shawn Lee ,1,0
Baoyou Xie ,91,57501
Andrej Krutak ,16,282362
Marek Vasut ,72,634199
Stefan Christ ,7,2958187
Steinar H. Gunderson ,3,10295597
Ioan-Adrian Ratiu ,6,7663851
Suresh Reddy ,19,2489812
Sriharsha Basavapatna ,12,3474268
Paul Gortmaker ,377,119327
Luis de Bethencourt ,193,206671
Salah Triki ,38,864050
Nathan Sullivan ,8,6157615
Alex Sidorenko ,1,0
Robert Ho ,2,0
John Stultz ,53,1209597
zijun_hu ,9,767991
zhong jiang ,7,1023988
Wei Fang ,10,4536378
Andrea Arcangeli ,52,676084
Wanlong Gao ,1,0
Rasmus Villemoes ,141,321051
Andrew Morton ,48,916778
Huang Ying ,8,1236440
Reza Arbab ,5,1579007
Tim Chen ,5,8914034
Simon Guo ,10,4761298
Srikar Dronamraju ,19,2288344
Xishi Qiu ,11,3629819
Vladimir Davydov ,76,542637
Joseph Qi ,42,1012142
Bhaktipriya Shridhar ,203,125484
Doug Ledford ,19,2165514
Yuval Shaia ,5,9744815
kernel@kyup.com ,1,0
Aviv Heller ,16,704413
Yishai Hadas ,24,1517430
Alex Vesker ,10,1020335
Prarit Bhargava ,42,1091584
Jes Sorensen ,352,129444
Ethan Hsieh ,1,0
Nelson Chang ,10,392407
Jon Mason ,67,517398
Anoob Soman ,1,0
Mike Looijmans ,19,2357293
Raju Lakkaraju ,5,1275781
Laurent Pinchart ,366,119311
Mugunthan V N ,25,1677715
Parav Pandit ,10,4856518
Jaedon Shin ,31,1361714
Olof Johansson ,11,3859901
Sathyanarayana Nujella ,5,6331156
Boris Ostrovsky ,30,1230377
Ley Foon Tan ,17,2538099
Amitkumar Karwar ,67,643506
netmonk@netmonk.org ,1,0
chris hyser ,2,0
Nambong Ha ,1,0
Donghyun Kim ,1,0
Kim SeonYoung ,1,0
Mikulas Patocka ,43,979701
Andi Kleen ,116,394686
Pierre Morel ,8,5556240
Ravi Bangoria ,17,1423734
Julia Lawall ,436,104039
sylvain.bertrand@gmail.com ,1,0
Justin Maggard ,6,7295084
Deepa Dinamani ,26,1236775
Ben Gamari ,6,6114417
Rajat Jain ,1,0
Huang Rui ,76,571518
Richard Fitzgerald ,58,764409
Peter Ujfalusi ,279,161381
Lee Jones ,190,239555
Marcin Niestroj ,9,1865763
Steve Twiss ,21,2085913
Lu Baolu ,21,1908870
Krzysztof Kozlowski ,483,95739
Keerthy ,51,758833
Bin Gao ,6,1763549
Yang Ling ,5,230769
Fabian Frederick ,99,457251
Álvaro Fernández Rojas ,44,1042481
Naveen N. Rao ,38,1211334
Cyril Bur ,43,1008226
Ingo Molnar ,373,120111
Madalin Bucur ,15,2594732
Igal Liberman ,20,2224385
Tomeu Vizoso ,45,1018639
Emilio López ,17,2219654
Andrew Collins ,1,0
Petr Kulhavy ,23,838822
Laszlo Ersek ,3,14449975
Stefan Assmann ,14,2739618
Shmulik Ladkani ,12,1161769
Sukadev Bhattiprolu ,31,1365744
Matti Kurkela ,1,0
John Crispin ,100,285926
David Sterba ,147,289141
Omar Sandoval ,41,1055366
Salil ,8,3750231
Lijun Ou ,24,0
Wei Hu (Xavier) ,3,0
Daode Huang ,24,731882
Kejian Yan ,28,623455
lipeng ,3,15317973
Andreas Gerstmayr ,1,0
Xie XiuQi ,8,6110490
Brian Boylston ,3,3347507
Jacob Keller ,161,255621
Bjorn Andersson ,156,289824
Gavin Schenk ,1,0
Pascal Eberhard ,1,0
Srinivas Ramana ,1,0
Ksenija Stanojevic ,42,1081970
Ivan Safonov ,193,159970
Ramiro Oliveira ,3,0
Muraru Mihaela ,1,0
shyam saini ,1,0
Georgiana Rodica Chelu ,12,95503
Fernando Apesteguia ,3,871265
Bhumika Goyal ,93,226983
Elizabeth Ferdman ,3,837
Namrata A Shettar ,22,60637
Carlos Palminha ,39,534416
Wayne Porter ,3,467
Sergio Paracuellos ,120,11820
Moshe Green ,7,604057
Tudor Ambarus ,9,4755000
Gary R Hook ,20,932446
Marcelo Cerri ,4,141
Jan Stancek ,10,4013005
Ondrej Mosnáček ,1,0
Rui Miguel Silva ,97,558452
Mark Greer ,20,2486519
popcornmix ,1,0
Mike Marciniszyn ,94,374526
Dean Luick ,110,270443
Harish Chegondi ,43,587557
Sebastian Sanchez ,23,1262071
Tymoteusz Kielan ,2,5244069
sayli karnik ,23,70823
Tyler Hicks ,4,11789893
Jon Bailey ,1,0
Misael Lopez Cruz ,11,4197069
Seth Forshee ,14,1333521
Chao Yu ,239,185958
Tiezhu Yang ,7,6082464
Sheng Yong ,7,5114761
Yunlei He ,16,2828610
Weichao Guo ,1,0
Eric Ren ,6,5741142
Frank Sorenson ,9,788132
Vishwanath Pai ,5,4019665
Aaron Conole ,14,2438438
Niklas Söderlund ,47,563394
Eric W. Biederman ,264,166927
Javi Merino ,35,1307571
Andrzej Hajda ,199,222942
Milo Kim ,23,1802368
Cao jin ,2,13398793
Toke Høiland-Jørgensen ,6,298400
Ayala Beker ,26,1420997
David Spinadel ,13,3744128
KarimAllah Ahmed ,2,39513577
Frederic Weisbecker ,61,751353
Dietmar Eggemann ,12,3008620
Tang Yuantian ,16,2759866
Sascha Silbe ,9,3520369
Stefan Haberland ,21,1922073
Eric Engestrom ,49,384399
Calvin Owens ,12,3216113
Eric Whitney ,6,8055740
David Decotigny ,23,1882725
Jia He ,9,2916303
Greg Kroah-Hartman ,485,139405
gmail ,1,0
Milton Miller ,1,0
Vivien Didelot ,211,200855
Ondrej Zary ,88,413927
Zang Leigang ,1,0
Joel Stanley ,18,2579641
Alistair Popple ,22,2043915
Kuninori Morimoto ,552,81683
Richard Guy Briggs ,21,2112126
Steven J. Hill ,7,2004579
Olga Kornievskaia ,8,5999946
Masami Hiramatsu ,127,355904
Mathieu Poirier ,96,449131
Simon Que ,2,12165657
Tejun Heo ,331,130844
Nicolas Iooss ,39,1177134
Laurent Georget ,1,0
Nicolas Ferre ,56,783561
Masanari Iida ,87,511132
Balbir Singh ,7,3235313
Li Zhong ,3,1530831
Andrey Smirnov ,25,537026
Yongji Xie ,5,2827182
Flora Cui ,38,770934
Mark Fasheh ,10,4571928
Bastian Hecht ,1,0
George G. Davis ,1,0
Aleksey Makarov ,20,2200160
Leif Lindholm ,4,10140463
Lawrence Brakmo ,5,3074237
Jouni Malinen ,14,1986295
Chaehyun Lim ,557,73773
Miaoqing Pan ,41,939145
Rajkumar Manoharan ,70,717286
Mohammed Shafi Shajakhan ,41,758274
